# Generated by MTSEdit for Minetestmapper colors.txt
# using node palette Mineclone2

mcl_cocoas:cocoa_2 120  74  33
mcl_cocoas:cocoa_3 138  68  52
mcl_colorblocks:concrete_black   6   8  12
mcl_colorblocks:concrete_blue  34  36 112
mcl_colorblocks:concrete_brown  75  46  24
mcl_colorblocks:concrete_cyan  17  93 107
mcl_colorblocks:concrete_green  57  71  28
mcl_colorblocks:concrete_grey  42  45  48
mcl_colorblocks:concrete_light_blue  27 107 156
mcl_colorblocks:concrete_lime  73 132  19
mcl_colorblocks:concrete_magenta 133  37 125
mcl_colorblocks:concrete_orange 176  76   0
mcl_colorblocks:concrete_pink 167  79 112
mcl_colorblocks:concrete_powder_black  19  21  24
mcl_colorblocks:concrete_powder_blue  55  58 131
mcl_colorblocks:concrete_powder_brown  98  66  42
mcl_colorblocks:concrete_powder_cyan  28 117 123
mcl_colorblocks:concrete_powder_green  76  93  35
mcl_colorblocks:concrete_powder_grey  60  63  66
mcl_colorblocks:concrete_powder_light_blue  58 142 168
mcl_colorblocks:concrete_powder_lime  98 148  32
mcl_colorblocks:concrete_powder_magenta 151  66 145
mcl_colorblocks:concrete_powder_orange 178 103  25
mcl_colorblocks:concrete_powder_pink 180 121 143
mcl_colorblocks:concrete_powder_purple 103  44 139
mcl_colorblocks:concrete_powder_red 132  42  40
mcl_colorblocks:concrete_powder_silver 122 122 116
mcl_colorblocks:concrete_powder_white 178 179 179
mcl_colorblocks:concrete_powder_yellow 183 157  43
mcl_colorblocks:concrete_purple  78  24 123
mcl_colorblocks:concrete_red 111  25  25
mcl_colorblocks:concrete_silver  98  98  90
mcl_colorblocks:concrete_white 162 167 168
mcl_colorblocks:concrete_yellow 189 137  17
mcl_colorblocks:glazed_terracotta_black  54  24  26
mcl_colorblocks:glazed_terracotta_blue  38  51 112
mcl_colorblocks:glazed_terracotta_brown  96  85  69
mcl_colorblocks:glazed_terracotta_cyan  42  94 101
mcl_colorblocks:glazed_terracotta_green  93 114  54
mcl_colorblocks:glazed_terracotta_grey  66  72  75
mcl_colorblocks:glazed_terracotta_light_blue  76 132 168
mcl_colorblocks:glazed_terracotta_lime 131 158  45
mcl_colorblocks:glazed_terracotta_magenta 166  80 154
mcl_colorblocks:glazed_terracotta_orange 124 117  74
mcl_colorblocks:glazed_terracotta_pink 187 124 146
mcl_colorblocks:glazed_terracotta_purple  87  38 123
mcl_colorblocks:glazed_terracotta_red 145  47  42
mcl_colorblocks:glazed_terracotta_silver 115 133 135
mcl_colorblocks:glazed_terracotta_white 149 168 163
mcl_colorblocks:glazed_terracotta_yellow 187 153  71
mcl_colorblocks:hardened_clay 121  75  54
mcl_colorblocks:hardened_clay_black  29  17  12
mcl_colorblocks:hardened_clay_blue  58  46  71
mcl_colorblocks:hardened_clay_brown  60  40  27
mcl_colorblocks:hardened_clay_cyan  68  72  72
mcl_colorblocks:hardened_clay_green  59  65  33
mcl_colorblocks:hardened_clay_grey  45  33  27
mcl_colorblocks:hardened_clay_light_blue  89  85 108
mcl_colorblocks:hardened_clay_lime  81  92  41
mcl_colorblocks:hardened_clay_magenta 118  69  85
mcl_colorblocks:hardened_clay_orange 127  65  29
mcl_colorblocks:hardened_clay_pink 127  61  61
mcl_colorblocks:hardened_clay_purple  93  55  67
mcl_colorblocks:hardened_clay_red 112  48  37
mcl_colorblocks:hardened_clay_silver  98 100  90
mcl_colorblocks:hardened_clay_white 165 140 127
mcl_colorblocks:hardened_clay_yellow 146 104  27
mcl_comparators:comparator_off_comp 134 125 121
mcl_comparators:comparator_off_sub 113 102  98
mcl_comparators:comparator_on_comp 150 123 118
mcl_comparators:comparator_on_sub 116 102  98
mcl_core:acacialeaves  39  98  13
mcl_core:acaciasapling 119 121  24
mcl_core:acaciatree  95  73  59
mcl_core:acaciatree_bark  72  68  61
mcl_core:acaciawood 102  39  23
mcl_core:andesite 136 135 127
mcl_core:andesite_smooth 104 106 106
mcl_core:barrier 213   0   0
mcl_core:bedrock  67  65  64
mcl_core:bell 125 117  77
mcl_core:birchleaves  63  81  41
mcl_core:birchsapling 121 157  74
mcl_core:birchtree 164 160 144
mcl_core:birchtree_bark 142 142 139
mcl_core:birchwood 151 138  95
mcl_core:bone_block 174 171 155
mcl_core:brewing_stand  96  85  72
mcl_core:brick_block  81  51  49
mcl_core:cactus  37  78  17
mcl_core:clay 127 127 127
mcl_core:coalblock  32  32  32
mcl_core:coarse_dirt  94  67  46
mcl_core:cobble  60  58  56
mcl_core:cobweb 159 162 163
mcl_core:darkleaves  39  99  13
mcl_core:darksapling  59  94  31
mcl_core:darktree  49  35  19
mcl_core:darktree_bark  36  28  16
mcl_core:darkwood  52  35  16
mcl_core:deadbush 107  79  40
mcl_core:diamondblock  78 185 178
mcl_core:diorite 148 148 149
mcl_core:diorite_smooth 152 152 153
mcl_core:dirt  65  43  25
mcl_core:dirt_with_dry_grass 116  89  55
mcl_core:dirt_with_dry_grass_snow 221 229 234
mcl_core:dirt_with_grass  52  54  17
mcl_core:dirt_with_grass_snow 221 229 234
mcl_core:emeraldblock  34 161  70
mcl_core:enchanting_table  89  77  70
mcl_core:frosted_ice 113 143 199
mcl_core:frosted_ice_0 140 193 224
mcl_core:frosted_ice_1 147 198 227
mcl_core:frosted_ice_2 153 202 229
mcl_core:frosted_ice_3 165 209 233
mcl_core:glass 140 140 166
mcl_core:glass_black  17  17  17
mcl_core:glass_blue  40  60 142
mcl_core:glass_brown  77  58  40
mcl_core:glass_cyan  58  97 119
mcl_core:glass_gray  58  58  59
mcl_core:glass_green 121 244   0
mcl_core:glass_light_blue  78 118 168
mcl_core:glass_lime  97 157  19
mcl_core:glass_magenta 138  58 168
mcl_core:glass_orange 166  97  40
mcl_core:glass_pink 187  97 127
mcl_core:glass_purple  97  48 138
mcl_core:glass_red 123  41  41
mcl_core:glass_silver 118 118 119
mcl_core:glass_white 196 196 198
mcl_core:glass_yellow 175 175  40
mcl_core:goldblock 193 164  49
mcl_core:granite 117  81  67
mcl_core:granite_smooth 121  84  70
mcl_core:grass_path 116  90  55
mcl_core:gravel 103 100  99
mcl_core:ice 117 144 174
mcl_core:ironblock 104 103 104
mcl_core:jungleleaves  41 101  12
mcl_core:junglesapling  47  84  17
mcl_core:jungletree  86  65  33
mcl_core:jungletree_bark  60  47  18
mcl_core:junglewood 126  91  63
mcl_core:ladder  99  78  43
mcl_core:lapisblock  24  53 110
mcl_core:lava_flowing 139  56   5
mcl_core:lava_source 139  58   5
mcl_core:leaves  20  33  17
mcl_core:mossycobble  59  61  46
mcl_core:mycelium  88  72  65
mcl_core:mycelium_snow 221 229 234
mcl_core:obsidian  12  13  16
mcl_core:packed_ice 113 144 199
mcl_core:podzol  87  62  35
mcl_core:podzol_snow 221 229 234
mcl_core:realm_barrier 213   1   0
mcl_core:redsand 150  81  26
mcl_core:redsandstone 145  77  23
mcl_core:redsandstonecarved 144  76  22
mcl_core:redsandstonesmooth 147  79  25
mcl_core:redsandstonesmooth2 145  78  25
mcl_core:reeds  72 142  42
mcl_core:sand 151 146 111
mcl_core:sandstone 139 136 100
mcl_core:sandstonecarved 137 106  62
mcl_core:sandstonesmooth 138 135  99
mcl_core:sandstonesmooth2 179 171 137
mcl_core:sapling  76 109  41
mcl_core:slimeblock  88 151  72
mcl_core:snow 221 229 234
mcl_core:snow_2 221 229 234
mcl_core:snow_3 221 229 234
mcl_core:snow_4 221 229 234
mcl_core:snow_5 221 229 234
mcl_core:snow_6 221 229 234
mcl_core:snow_7 221 229 234
mcl_core:snow_8 221 229 234
mcl_core:snow_layer 164 165 174
mcl_core:snowblock 158 158 167
mcl_core:spruceleaves  45  71  45
mcl_core:sprucesapling  45  61  37
mcl_core:sprucetree  80  68  56
mcl_core:sprucetree_bark  35  22   5
mcl_core:sprucewood  90  67  38
mcl_core:stone  60  64  56
mcl_core:stone_smooth 152 154 153
mcl_core:stone_with_coal  58  56  56
mcl_core:stone_with_diamond  81  88  87
mcl_core:stone_with_emerald  92 107  97
mcl_core:stone_with_gold 113 110  99
mcl_core:stone_with_iron  75  62  57
mcl_core:stone_with_lapis  78  87 104
mcl_core:stone_with_redstone  75  75  49
mcl_core:stone_with_redstone_lit  75  74  49
mcl_core:stonebrick  67  66  64
mcl_core:stonebrickcarved 134 105  64
mcl_core:stonebrickcracked  67  67  64
mcl_core:stonebrickmossy  91  96  83
mcl_core:tree  66  51  34
mcl_core:tree_bark  71  56  34
mcl_core:vine  32  81  10
mcl_core:void  69  58  71
mcl_core:water_flowing  24 122 205
mcl_core:water_source  24 124 205
mcl_core:wood  89  68  36
mcl_crafting_table:crafting_table  72  54  34
mcl_dispensers:dispenser  93  92  92
mcl_dispensers:dispenser_down 148 138 133
mcl_dispensers:dispenser_up 115 104  99
mcl_doors:acacia_door_t_1 133  80  53
mcl_doors:acacia_door_t_2 133  80  53
mcl_doors:acacia_trapdoor 126  69  40
mcl_doors:acacia_trapdoor_open 154 102  71
mcl_doors:birch_door 165 154 120
mcl_doors:birch_door_t_1 153 121  94
mcl_doors:birch_door_t_2 153 121  94
mcl_doors:birch_trapdoor 165 154 121
mcl_doors:birch_trapdoor_open 147 116  89
mcl_doors:dark_oak_door_t_1 102  89  75
mcl_doors:dark_oak_door_t_2 102  89  75
mcl_doors:dark_oak_trapdoor  60  40  18
mcl_doors:dark_oak_trapdoor_open  85  72  60
mcl_doors:iron_door 155 154 156
mcl_doors:iron_door_t_1 155 149 148
mcl_doors:iron_door_t_2 155 149 148
mcl_doors:iron_trapdoor 162 162 162
mcl_doors:iron_trapdoor_open 149 140 140
mcl_doors:jungle_door_t_1 109  75  57
mcl_doors:jungle_door_t_2 109  75  57
mcl_doors:jungle_trapdoor 123  89  62
mcl_doors:jungle_trapdoor_open 121  87  62
mcl_doors:spruce_door_t_1  92  79  68
mcl_doors:spruce_door_t_2  92  79  68
mcl_doors:spruce_trapdoor  93  70  42
mcl_doors:spruce_trapdoor_open  73  59  47
mcl_doors:trapdoor  99  79  45
mcl_doors:trapdoor_open 113  86  67
mcl_doors:wooden_door 110  86  50
mcl_doors:wooden_door_t_1  84  65  51
mcl_doors:wooden_door_t_2  84  65  51
mcl_droppers:dropper  93  93  92
mcl_droppers:dropper_down 148 138 133
mcl_droppers:dropper_up 118 108 103
mcl_end:chorus_flower 101 140  39
mcl_end:chorus_flower_dead  92  60  37
mcl_end:chorus_plant 129 107 129
mcl_end:dragon_egg  10   7  13
mcl_end:end_bricks 172 176 128
mcl_end:end_rod 167 161 151
mcl_end:end_stone 172 175 124
mcl_end:purpur_block 134  99 134
mcl_end:purpur_pillar 135 102 135
mcl_farming:beetroot  72 120  53
mcl_farming:beetroot_0  56 122  75
mcl_farming:beetroot_1  54 118  72
mcl_farming:beetroot_2  54 119  73
mcl_farming:carrot  27 138  12
mcl_farming:carrot_1  75 112  61
mcl_farming:carrot_2  75 112  61
mcl_farming:carrot_3  72 108  58
mcl_farming:carrot_4  72 108  58
mcl_farming:carrot_5  70 107  57
mcl_farming:carrot_6  70 107  57
mcl_farming:carrot_7  70 107  57
mcl_farming:hay_block 148 127  44
mcl_farming:melon  89 115  23
mcl_farming:melontige_unconnect  89 114  23
mcl_farming:potato  25 173  34
mcl_farming:potato_1  73 119  65
mcl_farming:potato_2  73 119  65
mcl_farming:potato_3  69 113  61
mcl_farming:potato_4  69 113  61
mcl_farming:potato_5  72 116  62
mcl_farming:potato_6  72 116  62
mcl_farming:potato_7  72 116  62
mcl_farming:pumpkin 154  91  19
mcl_farming:pumpkin_face 154  93  19
mcl_farming:pumpkin_face_light 160 102  27
mcl_farming:pumpkintige_unconnect 154  92  19
mcl_farming:soil 108  78  54
mcl_farming:soil_wet 108  79  54
mcl_farming:wheat 175 157  78
mcl_farming:wheat_1  53 101  46
mcl_farming:wheat_2  49  97  45
mcl_farming:wheat_3  49  97  45
mcl_farming:wheat_4  64 113  52
mcl_farming:wheat_5  86 129  65
mcl_farming:wheat_6 101 142  66
mcl_farming:wheat_7 145 145  69
mcl_fences:acacia_fence 132  70  39
mcl_fences:acacia_fence_gate 134  72  40
mcl_fences:acacia_fence_gate_open 152  99  68
mcl_fences:birch_fence 152 138  96
mcl_fences:birch_fence_gate 154 140  97
mcl_fences:birch_fence_gate_open 151 119  93
mcl_fences:dark_oak_fence  52  33  15
mcl_fences:dark_oak_fence_gate  52  34  16
mcl_fences:dark_oak_fence_gate_open  83  71  59
mcl_fences:fence 127 102  61
mcl_fences:fence_gate 130 105  63
mcl_fences:fence_gate_open 108  83  64
mcl_fences:jungle_fence 126  90  63
mcl_fences:jungle_fence_gate 128  92  64
mcl_fences:jungle_fence_gate_open 115  80  60
mcl_fences:nether_brick_fence  34  18  20
mcl_fences:spruce_fence  90  66  38
mcl_fences:spruce_fence_gate  91  67  38
mcl_fences:spruce_fence_gate_open  84  67  54
mcl_fire:eternal_fire 207 129  40
mcl_fire:fire 207 130  40
mcl_flowerpots:flower_pot  93  52  40
mcl_flowerpots:flower_pot_acaciasapling  96  78  29
mcl_flowerpots:flower_pot_allium 105  70  73
mcl_flowerpots:flower_pot_azure_bluet 108  90  61
mcl_flowerpots:flower_pot_birchsapling  99  94  54
mcl_flowerpots:flower_pot_blue_orchid  76  79  73
mcl_flowerpots:flower_pot_cactus  78  78  36
mcl_flowerpots:flower_pot_dandelion 102  75  39
mcl_flowerpots:flower_pot_darksapling  69  65  33
mcl_flowerpots:flower_pot_deadbush  92  59  37
mcl_flowerpots:flower_pot_fern  72  64  42
mcl_flowerpots:flower_pot_junglesapling  67  59  28
mcl_flowerpots:flower_pot_mushroom_brown 101  63  49
mcl_flowerpots:flower_pot_mushroom_red 114  52  42
mcl_flowerpots:flower_pot_oxeye_daisy 114  93  69
mcl_flowerpots:flower_pot_poppy  98  52  38
mcl_flowerpots:flower_pot_sapling  77  73  37
mcl_flowerpots:flower_pot_sprucesapling  66  51  36
mcl_flowerpots:flower_pot_tulip_orange  87  72  35
mcl_flowerpots:flower_pot_tulip_pink  88  76  47
mcl_flowerpots:flower_pot_tulip_red  86  72  36
mcl_flowerpots:flower_pot_tulip_white  88  80  46
mcl_flowers:allium 168 139 196
mcl_flowers:azure_bluet 174 207 135
mcl_flowers:blue_orchid  47 164 173
mcl_flowers:dandelion 194 159  17
mcl_flowers:double_fern  59  91  51
mcl_flowers:double_fern_top 127 120 138
mcl_flowers:double_grass  90 131  50
mcl_flowers:double_grass_top 137 127 141
mcl_flowers:fern  59  90  51
mcl_flowers:grass  91 133  51
mcl_flowers:lilac  63  77  60
mcl_flowers:lilac_top 145 123 137
mcl_flowers:oxeye_daisy 181 204 153
mcl_flowers:peony 112 116 121
mcl_flowers:peony_top  90  84  81
mcl_flowers:poppy 118  48  24
mcl_flowers:rose_bush 118  50  24
mcl_flowers:rose_bush_top  81  69  45
mcl_flowers:sunflower 203 157  61
mcl_flowers:sunflower_top  48  81  44
mcl_flowers:tallgrass  87 128  48
mcl_flowers:tulip_orange 102 144  33
mcl_flowers:tulip_pink 108 161  87
mcl_flowers:tulip_red 118  49  24
mcl_flowers:tulip_white  98 168  74
mcl_flowers:waterlily  16  67  25
mcl_furnaces:furnace  58  57  54
mcl_furnaces:furnace_active  58  56  54
mcl_heads:creeper  86 138  80
mcl_heads:skeleton 137 137 137
mcl_heads:steve  61  42  29
mcl_heads:wither_skeleton  33  34  34
mcl_heads:zombie  54  85  41
mcl_hoppers:hopper  61  62  61
mcl_hoppers:hopper_disabled  61  60  61
mcl_hoppers:hopper_side  61  63  61
mcl_hoppers:hopper_side_disabled  61  61  61
mcl_itemframes:item_frame 123  90  63
mcl_jukebox:jukebox  72  48  34
mcl_meshhand:character 116  71  59
mcl_meshhand:mcl_skins_character_1  93  90  77
mcl_minecarts:activator_rail 123 109  87
mcl_minecarts:activator_rail_on  86  62  54
mcl_minecarts:detector_rail 120 103  88
mcl_minecarts:detector_rail_on  87  74  67
mcl_minecarts:golden_rail 135 106  70
mcl_minecarts:golden_rail_on  94  77  60
mcl_minecarts:rail 123 110  87
mcl_mobspawners:spawner  17  25  31
mcl_monster_eggs:monster_egg_cobble  60  60  56
mcl_monster_eggs:monster_egg_stone  60  62  56
mcl_monster_eggs:monster_egg_stonebrick  60  63  56
mcl_monster_eggs:monster_egg_stonebrickcarved  94  93  94
mcl_monster_eggs:monster_egg_stonebrickcracked  60  61  56
mcl_monster_eggs:monster_egg_stonebrickmossy  91  95  83
mcl_mushrooms:brown_mushroom_block_cap_000000 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_000001 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_000010 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_000011 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_000100 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_000101 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_000110 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_000111 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_001000 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_001001 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_001010 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_001011 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_001100 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_001101 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_001110 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_001111 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_010000 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_010001 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_010010 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_010011 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_010100 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_010101 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_010110 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_010111 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_011000 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_011001 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_011010 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_011011 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_011100 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_011101 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_011110 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_011111 218 175 136
mcl_mushrooms:brown_mushroom_block_cap_100000 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_100001 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_100010 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_100011 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_100100 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_100101 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_100110 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_100111 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_101000 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_101001 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_101010 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_101011 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_101100 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_101101 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_101110 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_101111 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_110000 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_110001 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_110010 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_110011 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_110100 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_110101 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_110110 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_110111 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_111000 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_111001 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_111010 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_111011 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_111100 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_111101 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_111110 131  86  68
mcl_mushrooms:brown_mushroom_block_cap_111111 118  90  64
mcl_mushrooms:brown_mushroom_block_stem 118  91  64
mcl_mushrooms:brown_mushroom_block_stem_full 118  89  64
mcl_mushrooms:mushroom_brown 155 117  92
mcl_mushrooms:mushroom_red 214  67  63
mcl_mushrooms:red_mushroom_block_cap_000000 218 175 136
mcl_mushrooms:red_mushroom_block_cap_000001 218 175 136
mcl_mushrooms:red_mushroom_block_cap_000010 218 175 136
mcl_mushrooms:red_mushroom_block_cap_000011 218 175 136
mcl_mushrooms:red_mushroom_block_cap_000100 218 175 136
mcl_mushrooms:red_mushroom_block_cap_000101 218 175 136
mcl_mushrooms:red_mushroom_block_cap_000110 218 175 136
mcl_mushrooms:red_mushroom_block_cap_000111 218 175 136
mcl_mushrooms:red_mushroom_block_cap_001000 218 175 136
mcl_mushrooms:red_mushroom_block_cap_001001 218 175 136
mcl_mushrooms:red_mushroom_block_cap_001010 218 175 136
mcl_mushrooms:red_mushroom_block_cap_001011 218 175 136
mcl_mushrooms:red_mushroom_block_cap_001100 218 175 136
mcl_mushrooms:red_mushroom_block_cap_001101 218 175 136
mcl_mushrooms:red_mushroom_block_cap_001110 218 175 136
mcl_mushrooms:red_mushroom_block_cap_001111 218 175 136
mcl_mushrooms:red_mushroom_block_cap_010000 218 175 136
mcl_mushrooms:red_mushroom_block_cap_010001 218 175 136
mcl_mushrooms:red_mushroom_block_cap_010010 218 175 136
mcl_mushrooms:red_mushroom_block_cap_010011 218 175 136
mcl_mushrooms:red_mushroom_block_cap_010100 218 175 136
mcl_mushrooms:red_mushroom_block_cap_010101 218 175 136
mcl_mushrooms:red_mushroom_block_cap_010110 218 175 136
mcl_mushrooms:red_mushroom_block_cap_010111 218 175 136
mcl_mushrooms:red_mushroom_block_cap_011000 218 175 136
mcl_mushrooms:red_mushroom_block_cap_011001 218 175 136
mcl_mushrooms:red_mushroom_block_cap_011010 218 175 136
mcl_mushrooms:red_mushroom_block_cap_011011 218 175 136
mcl_mushrooms:red_mushroom_block_cap_011100 218 175 136
mcl_mushrooms:red_mushroom_block_cap_011101 218 175 136
mcl_mushrooms:red_mushroom_block_cap_011110 218 175 136
mcl_mushrooms:red_mushroom_block_cap_011111 218 175 136
mcl_mushrooms:red_mushroom_block_cap_100000 137  39  25
mcl_mushrooms:red_mushroom_block_cap_100001 137  39  25
mcl_mushrooms:red_mushroom_block_cap_100010 137  39  25
mcl_mushrooms:red_mushroom_block_cap_100011 137  39  25
mcl_mushrooms:red_mushroom_block_cap_100100 137  39  25
mcl_mushrooms:red_mushroom_block_cap_100101 137  39  25
mcl_mushrooms:red_mushroom_block_cap_100110 137  39  25
mcl_mushrooms:red_mushroom_block_cap_100111 137  39  25
mcl_mushrooms:red_mushroom_block_cap_101000 137  39  25
mcl_mushrooms:red_mushroom_block_cap_101001 137  39  25
mcl_mushrooms:red_mushroom_block_cap_101010 137  39  25
mcl_mushrooms:red_mushroom_block_cap_101011 137  39  25
mcl_mushrooms:red_mushroom_block_cap_101100 137  39  25
mcl_mushrooms:red_mushroom_block_cap_101101 137  39  25
mcl_mushrooms:red_mushroom_block_cap_101110 137  39  25
mcl_mushrooms:red_mushroom_block_cap_101111 137  39  25
mcl_mushrooms:red_mushroom_block_cap_110000 137  39  25
mcl_mushrooms:red_mushroom_block_cap_110001 137  39  25
mcl_mushrooms:red_mushroom_block_cap_110010 137  39  25
mcl_mushrooms:red_mushroom_block_cap_110011 137  39  25
mcl_mushrooms:red_mushroom_block_cap_110100 137  39  25
mcl_mushrooms:red_mushroom_block_cap_110101 137  39  25
mcl_mushrooms:red_mushroom_block_cap_110110 137  39  25
mcl_mushrooms:red_mushroom_block_cap_110111 137  39  25
mcl_mushrooms:red_mushroom_block_cap_111000 137  39  25
mcl_mushrooms:red_mushroom_block_cap_111001 137  39  25
mcl_mushrooms:red_mushroom_block_cap_111010 137  39  25
mcl_mushrooms:red_mushroom_block_cap_111011 137  39  25
mcl_mushrooms:red_mushroom_block_cap_111100 137  39  25
mcl_mushrooms:red_mushroom_block_cap_111101 137  39  25
